date,data science,machine learning,artificial intelligence,finance,business,isPartial
2019-12-29,1,2,1,25,57,False
2020-01-05,2,2,1,30,66,False
2020-01-12,2,2,1,28,69,False
2020-01-19,2,2,1,28,72,False
2020-01-26,2,2,1,29,71,False
2020-02-02,2,2,1,30,67,False
2020-02-09,2,2,1,30,70,False
2020-02-16,2,2,1,30,71,False
2020-02-23,2,2,1,35,72,False
2020-03-01,2,2,1,36,70,False
2020-03-08,1,2,1,43,66,False
2020-03-15,1,1,1,43,75,False
2020-03-22,1,1,1,37,79,False
2020-03-29,1,2,1,36,75,False
2020-04-05,1,2,1,32,65,False
2020-04-12,1,2,1,33,64,False
2020-04-19,1,2,1,34,68,False
2020-04-26,1,2,1,34,69,False
2020-05-03,1,2,1,33,65,False
2020-05-10,1,2,1,36,68,False
2020-05-17,1,2,1,34,66,False
2020-05-24,1,2,1,31,65,False
2020-05-31,1,2,1,36,68,False
2020-06-07,1,2,1,35,64,False
2020-06-14,1,2,1,34,69,False
2020-06-21,2,2,1,33,68,False
2020-06-28,2,2,1,33,66,False
2020-07-05,2,2,1,34,69,False
2020-07-12,2,2,1,32,68,False
2020-07-19,2,2,1,34,69,False
2020-07-26,2,2,1,33,65,False
2020-08-02,2,2,1,31,63,False
2020-08-09,2,2,1,33,65,False
2020-08-16,2,2,1,31,67,False
2020-08-23,2,2,1,31,63,False
2020-08-30,2,2,1,33,68,False
2020-09-06,2,2,1,31,68,False
2020-09-13,2,2,1,31,72,False
2020-09-20,2,2,1,30,69,False
2020-09-27,2,2,1,30,67,False
2020-10-04,2,2,1,30,71,False
2020-10-11,1,2,1,30,64,False
2020-10-18,1,2,1,28,64,False
2020-10-25,1,2,1,28,62,False
2020-11-01,1,1,1,28,59,False
2020-11-08,1,2,1,30,63,False
2020-11-15,1,2,1,29,62,False
2020-11-22,1,1,1,28,54,False
2020-11-29,1,2,1,29,61,False
2020-12-06,1,2,1,30,64,False
2020-12-13,1,1,1,29,60,False
2020-12-20,1,1,1,23,49,False
2020-12-27,1,1,1,26,50,False
2021-01-03,1,1,1,32,61,False
2021-01-10,1,1,1,30,63,False
2021-01-17,1,2,1,33,64,False
2021-01-24,1,2,1,35,65,False
2021-01-31,1,2,1,38,64,False
2021-02-07,1,1,1,34,62,False
2021-02-14,1,1,1,32,62,False
2021-02-21,1,2,1,34,64,False
2021-02-28,1,2,1,34,64,False
2021-03-07,1,2,1,32,66,False
2021-03-14,1,2,1,32,66,False
2021-03-21,1,2,1,29,62,False
2021-03-28,1,1,1,28,60,False
2021-04-04,1,1,1,30,59,False
2021-04-11,1,2,1,30,62,False
2021-04-18,1,2,1,30,63,False
2021-04-25,1,2,1,31,61,False
2021-05-02,1,1,1,31,60,False
2021-05-09,1,2,1,32,62,False
2021-05-16,1,2,1,31,60,False
2021-05-23,1,2,1,29,58,False
2021-05-30,1,2,1,31,60,False
2021-06-06,1,2,1,30,62,False
2021-06-13,1,2,1,30,64,False
2021-06-20,1,2,1,29,60,False
2021-06-27,1,1,1,27,61,False
2021-07-04,1,1,1,29,60,False
2021-07-11,1,2,1,28,61,False
2021-07-18,1,2,1,28,61,False
2021-07-25,1,2,1,29,58,False
2021-08-01,1,1,1,29,58,False
2021-08-08,1,1,1,30,60,False
2021-08-15,1,1,1,30,59,False
2021-08-22,2,1,1,28,60,False
2021-08-29,1,1,1,28,62,False
2021-09-05,1,2,1,28,62,False
2021-09-12,2,2,1,30,67,False
2021-09-19,2,2,1,31,67,False
2021-09-26,1,2,1,30,64,False
2021-10-03,1,2,1,31,67,False
2021-10-10,1,2,1,28,66,False
2021-10-17,2,2,1,31,66,False
2021-10-24,1,2,1,30,63,False
2021-10-31,1,1,1,28,62,False
2021-11-07,1,2,1,30,63,False
2021-11-14,1,2,1,29,63,False
2021-11-21,1,2,1,27,60,False
2021-11-28,2,2,1,29,63,False
2021-12-05,1,2,1,30,64,False
2021-12-12,1,2,1,29,60,False
2021-12-19,1,1,1,26,51,False
2021-12-26,1,1,1,26,49,False
2022-01-02,2,2,1,30,65,False
2022-01-09,2,2,1,30,68,False
2022-01-16,2,2,1,28,70,False
2022-01-23,2,2,1,30,70,False
2022-01-30,2,2,1,32,71,False
2022-02-06,2,2,1,30,72,False
2022-02-13,2,3,1,32,75,False
2022-02-20,2,2,1,30,75,False
2022-02-27,2,2,1,33,83,False
2022-03-06,2,2,1,32,83,False
2022-03-13,2,2,1,29,84,False
2022-03-20,2,3,1,31,86,False
2022-03-27,2,3,1,31,88,False
2022-04-03,2,3,1,31,87,False
2022-04-10,2,2,1,28,76,False
2022-04-17,2,3,1,30,80,False
2022-04-24,2,3,1,31,75,False
2022-05-01,2,3,1,30,72,False
2022-05-08,2,3,1,33,72,False
2022-05-15,2,2,1,31,71,False
2022-05-22,2,2,1,31,70,False
2022-05-29,2,2,1,28,65,False
2022-06-05,2,2,1,31,70,False
2022-06-12,2,3,1,31,71,False
2022-06-19,2,2,1,30,69,False
2022-06-26,2,2,1,29,65,False
2022-07-03,2,2,1,28,67,False
2022-07-10,2,2,1,29,68,False
2022-07-17,2,2,1,30,67,False
2022-07-24,2,2,1,30,69,False
2022-07-31,2,2,1,31,68,False
2022-08-07,2,2,1,31,65,False
2022-08-14,2,2,1,30,69,False
2022-08-21,2,2,1,31,71,False
2022-08-28,2,2,1,29,71,False
2022-09-04,2,2,1,27,73,False
2022-09-11,2,2,1,30,74,False
2022-09-18,2,3,1,30,76,False
2022-09-25,2,3,1,30,72,False
2022-10-02,2,2,1,29,71,False
2022-10-09,2,3,1,29,72,False
2022-10-16,2,2,1,28,72,False
2022-10-23,2,2,1,28,70,False
2022-10-30,2,2,1,29,69,False
2022-11-06,2,3,1,29,69,False
2022-11-13,2,3,1,30,73,False
2022-11-20,2,2,1,25,64,False
2022-11-27,2,2,1,27,67,False
2022-12-04,2,3,2,27,68,False
2022-12-11,2,3,1,28,69,False
2022-12-18,2,2,1,26,61,False
2022-12-25,2,2,1,24,55,False
2023-01-01,2,2,1,28,70,False
2023-01-08,2,2,2,29,75,False
2023-01-15,2,2,1,28,74,False
2023-01-22,2,3,2,29,76,False
2023-01-29,2,3,2,31,76,False
2023-02-05,2,3,2,31,76,False
2023-02-12,2,2,2,29,72,False
2023-02-19,2,3,2,28,76,False
2023-02-26,2,3,2,29,77,False
2023-03-05,2,2,2,27,73,False
2023-03-12,2,2,2,30,73,False
2023-03-19,2,2,2,29,74,False
2023-03-26,2,3,2,27,100,False
2023-04-02,2,2,2,28,100,False
2023-04-09,2,2,2,27,71,False
2023-04-16,2,2,2,27,72,False
2023-04-23,2,2,2,27,72,False
2023-04-30,2,2,2,28,72,False
2023-05-07,2,2,2,28,68,False
2023-05-14,2,3,2,27,72,False
2023-05-21,2,2,2,28,70,False
2023-05-28,2,2,2,27,66,False
2023-06-04,2,2,2,30,72,False
2023-06-11,2,2,2,30,72,False
2023-06-18,2,2,2,29,68,False
2023-06-25,2,2,2,27,71,False
2023-07-02,2,2,2,29,66,False
2023-07-09,2,2,2,32,72,False
2023-07-16,2,2,2,30,71,False
